,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,MOV,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season
6,Utah,82,48.3,101.5,37.4,78.9,0.474,4.3,12.9,0.335,22.3,30.0,0.743,12.6,30.0,42.5,24.7,7.0,4.1,15.6,25.2,0.551,0.502,155.3,31.7,75.1,53.4,65.9,14.5,7.7,7.1,1.3,61.1,110.1,107.0,3.1,7558.8,91.6,2.9,1.659,1.6,0.5,0.28300000000000003,51,31,0.622,2007
7,Sacramento,82,48.3,101.3,35.9,79.7,0.45,6.5,18.5,0.35,23.1,30.2,0.765,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,0.545,0.491,156.5,23.1,72.5,47.3,56.6,13.5,8.6,5.1,1.3,56.4,106.2,108.0,-1.9,7821.4,94.8,-1.8,1.5659999999999998,1.4,0.6,0.289,33,49,0.402,2007
8,Dallas,82,48.2,100.0,36.7,78.6,0.467,6.5,17.1,0.381,20.1,24.9,0.805,11.2,30.7,41.9,19.9,6.8,5.0,13.9,22.4,0.5589999999999999,0.509,165.3,28.7,75.0,52.4,54.2,13.4,7.6,7.9,1.3,60.3,111.3,103.3,8.0,7369.1,89.5,7.2,1.5419999999999998,1.4,0.5,0.256,67,15,0.8170000000000001,2007
9,Milwaukee,82,48.4,99.7,38.1,81.9,0.465,6.4,18.0,0.35600000000000004,17.1,23.4,0.733,11.5,27.7,39.2,21.6,7.2,2.7,15.2,22.2,0.541,0.504,155.4,27.6,68.1,47.6,56.7,14.1,7.7,4.4,1.2,55.3,106.8,111.5,-4.7,7648.3,92.4,-4.4,1.567,1.4,0.5,0.209,28,54,0.341,2007
10,Toronto,82,48.2,99.5,37.0,79.8,0.46299999999999997,6.5,17.9,0.363,19.0,24.2,0.7879999999999999,9.2,30.2,39.5,22.2,7.1,3.9,13.5,20.4,0.55,0.504,161.4,22.2,74.5,48.1,60.1,13.0,7.6,6.3,1.2,59.8,107.0,106.0,1.1,7620.2,92.6,1.0,1.601,1.7,0.5,0.239,47,35,0.573,2007
11,Oklahoma City,82,48.4,99.1,37.2,80.8,0.46,6.4,17.7,0.36200000000000004,18.4,23.3,0.7909999999999999,11.3,28.3,39.6,20.7,7.7,3.7,15.5,22.0,0.544,0.499,161.2,27.8,70.9,49.2,55.6,14.5,8.3,5.9,1.2,56.2,107.2,110.3,-3.1,7586.3,91.8,-2.9,1.556,1.3,0.5,0.228,31,51,0.37799999999999995,2007
12,Chicago,82,48.2,98.8,37.1,81.3,0.457,5.9,15.1,0.38799999999999996,18.6,25.4,0.7340000000000001,12.0,31.7,43.7,22.3,7.8,5.4,16.0,23.3,0.534,0.493,157.9,28.6,74.3,51.6,60.1,14.7,8.3,8.8,1.2,59.7,104.9,99.6,5.3,7718.3,93.6,5.0,1.601,1.4,0.5,0.22899999999999998,49,33,0.598,2007
13,San Antonio,82,48.2,98.5,36.6,77.2,0.474,7.3,19.0,0.381,18.1,24.1,0.7509999999999999,9.3,31.4,40.7,22.1,7.2,5.1,13.9,19.4,0.561,0.521,160.6,24.2,75.7,51.0,60.5,13.6,7.9,7.8,1.3,62.4,109.2,99.9,9.3,7397.9,89.8,8.4,1.605,1.6,0.5,0.235,58,24,0.7070000000000001,2007
14,Brooklyn,82,48.5,97.6,35.5,77.8,0.457,7.4,20.4,0.363,19.1,26.3,0.727,10.0,30.8,40.8,23.9,6.1,3.3,14.8,22.8,0.546,0.504,154.7,24.6,74.4,49.7,67.4,14.2,6.6,5.4,1.3,57.5,105.7,106.6,-0.8,7567.5,91.4,-0.8,1.6740000000000002,1.6,0.4,0.245,41,41,0.5,2007
15,New York,82,48.8,97.5,35.4,77.5,0.457,5.8,16.7,0.34600000000000003,20.9,29.2,0.715,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,0.539,0.494,151.8,31.0,74.0,52.7,52.8,15.9,7.2,5.2,1.3,52.1,105.7,108.8,-3.1,7563.5,90.7,-2.9,1.528,1.1,0.4,0.27,33,49,0.402,2007
16,Houston,82,48.4,97.0,35.4,79.6,0.445,8.6,23.1,0.37200000000000005,17.5,23.2,0.753,10.7,32.6,43.3,20.8,7.1,4.1,14.2,20.9,0.54,0.499,157.1,25.7,77.0,51.5,58.6,13.6,7.7,6.5,1.2,58.8,106.0,100.7,5.3,7504.0,90.7,4.9,1.5859999999999999,1.5,0.5,0.22,52,30,0.634,2007
17,Charlotte,82,48.8,96.9,36.1,81.0,0.446,5.6,15.6,0.35700000000000004,19.1,26.0,0.7340000000000001,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,0.524,0.48,153.7,26.4,71.6,48.3,62.0,13.9,8.3,7.1,1.2,54.7,103.6,107.6,-4.0,7670.7,92.0,-3.7,1.62,1.5,0.5,0.23600000000000002,33,49,0.402,2007
18,Cleveland,82,48.5,96.8,36.3,81.2,0.447,6.0,17.1,0.35200000000000004,18.1,26.0,0.696,12.7,30.8,43.5,20.8,7.6,4.3,14.4,21.7,0.522,0.484,149.5,29.7,75.8,52.2,57.4,13.4,8.3,6.9,1.2,57.3,105.5,101.3,4.2,7521.0,90.8,3.8,1.574,1.5,0.5,0.223,50,32,0.61,2007
19,Minnesota,82,48.8,96.1,36.5,79.3,0.461,4.7,13.3,0.353,18.3,23.1,0.792,10.0,30.2,40.2,22.5,6.5,4.0,15.6,21.4,0.537,0.49,160.6,25.1,72.1,49.2,61.7,14.8,7.0,6.2,1.2,55.1,103.9,107.9,-4.0,7581.3,91.0,-3.7,1.617,1.4,0.4,0.231,32,50,0.39,2007
20,Detroit,82,48.5,96.0,35.9,79.1,0.45399999999999996,5.5,15.9,0.344,18.8,24.2,0.774,11.6,29.0,40.5,21.6,7.1,5.8,12.2,20.4,0.535,0.488,157.2,28.3,70.9,49.6,60.1,12.0,8.0,9.2,1.2,60.1,108.9,104.2,4.7,7229.1,87.3,4.2,1.601,1.8,0.6,0.237,53,29,0.6459999999999999,2007
21,Boston,82,48.4,95.8,34.9,78.7,0.44299999999999995,5.7,15.6,0.36700000000000005,20.4,26.6,0.767,11.2,29.2,40.4,19.9,7.2,4.7,16.7,24.0,0.53,0.479,157.7,27.0,73.8,49.9,57.0,15.6,7.8,7.5,1.2,52.0,103.1,106.7,-3.7,7623.3,92.1,-3.4,1.57,1.2,0.4,0.259,24,58,0.293,2007
22,L.A. Clippers,82,48.1,95.6,35.1,77.0,0.456,3.8,11.0,0.348,21.6,27.4,0.7879999999999999,10.8,30.3,41.1,21.5,7.3,5.8,15.1,22.7,0.537,0.48100000000000004,159.2,27.2,74.7,51.2,61.2,14.5,8.0,9.3,1.2,57.5,105.1,105.6,-0.5,7461.9,90.8,-0.5,1.6119999999999999,1.4,0.5,0.28,40,42,0.488,2007
23,Indiana,82,48.2,95.6,35.0,80.0,0.43799999999999994,5.9,16.9,0.34600000000000003,19.7,25.9,0.76,12.1,29.8,41.8,20.5,7.3,5.5,16.3,23.3,0.523,0.474,154.4,28.4,72.7,50.1,58.5,15.1,7.9,8.5,1.2,54.4,102.9,105.5,-2.6,7618.8,92.4,-2.4,1.585,1.3,0.4,0.24600000000000002,35,47,0.42700000000000005,2007
24,New Orleans,82,48.5,95.5,36.2,81.4,0.445,5.5,15.3,0.36200000000000004,17.5,23.7,0.74,12.5,30.6,43.1,18.7,6.4,4.2,14.5,19.8,0.52,0.479,154.7,29.1,74.7,51.4,51.7,13.6,7.0,6.9,1.2,54.5,104.8,106.5,-1.7,7473.5,90.2,-1.6,1.517,1.3,0.4,0.215,39,43,0.47600000000000003,2007
25,Philadelphia,82,48.5,94.9,35.8,78.1,0.45799999999999996,3.5,10.0,0.345,20.0,26.0,0.767,11.0,28.7,39.7,20.4,7.2,4.8,15.3,20.4,0.53,0.48,156.9,27.2,70.8,49.1,56.9,14.6,7.8,7.6,1.2,54.3,103.6,106.9,-3.3,7513.5,90.7,-3.0,1.569,1.3,0.5,0.255,35,47,0.42700000000000005,2007
26,Orlando,82,48.2,94.8,35.1,74.3,0.47200000000000003,4.2,11.7,0.35600000000000004,20.5,29.2,0.7020000000000001,11.2,29.5,40.7,18.6,6.9,5.1,17.0,23.2,0.544,0.5,152.9,29.3,73.7,52.0,53.0,16.3,7.7,8.5,1.3,52.6,104.9,104.1,0.9,7405.5,89.9,0.8,1.53,1.1,0.4,0.276,40,42,0.488,2007
27,Miami,82,48.4,94.6,35.6,76.7,0.46399999999999997,6.4,18.8,0.34299999999999997,17.0,24.6,0.69,10.0,30.8,40.8,20.5,6.9,5.4,14.6,21.3,0.541,0.506,149.7,24.9,73.3,49.7,57.6,14.3,7.6,8.8,1.2,56.5,104.3,105.3,-1.0,7439.9,89.9,-0.9,1.5759999999999998,1.4,0.5,0.222,44,38,0.537,2007
28,Portland,82,48.7,94.1,35.0,78.0,0.45,5.2,15.0,0.34600000000000003,18.8,24.5,0.769,11.3,28.0,39.3,18.5,6.8,4.6,15.1,23.5,0.53,0.483,156.5,28.2,73.0,50.2,52.6,14.5,7.6,7.6,1.2,50.8,105.1,109.9,-4.8,7344.0,88.3,-4.3,1.526,1.2,0.4,0.24100000000000002,32,50,0.39,2007
29,Atlanta,82,48.5,93.7,34.5,77.7,0.444,4.2,12.7,0.32899999999999996,20.5,26.9,0.7609999999999999,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24.0,0.523,0.47100000000000003,153.4,29.2,70.9,49.8,55.6,15.1,8.2,8.7,1.2,51.5,103.0,108.3,-5.2,7454.8,90.0,-4.8,1.556,1.2,0.5,0.263,30,52,0.366,2007
0,Golden State,82,48.2,111.0,41.5,90.3,0.45899999999999996,9.3,26.6,0.348,18.8,24.9,0.752,12.7,30.4,43.2,22.4,9.1,4.6,13.2,22.9,0.5479999999999999,0.511,156.0,27.2,70.3,47.9,53.9,11.5,9.1,6.9,1.2,67.1,111.7,109.5,2.2,8151.5,98.9,2.2,1.5390000000000001,1.7,0.7,0.20800000000000002,48,34,0.585,2008
1,Denver,82,48.4,110.7,40.3,85.8,0.47,6.9,19.6,0.355,23.1,30.7,0.7509999999999999,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,0.557,0.51,157.5,25.5,72.1,49.3,61.2,12.9,9.1,9.9,1.3,71.0,109.9,106.2,3.7,8255.5,99.8,3.7,1.6119999999999999,1.7,0.6,0.26899999999999996,50,32,0.61,2008
2,Phoenix,82,48.2,110.1,41.4,82.7,0.5,8.5,21.5,0.39299999999999996,18.9,24.1,0.7829999999999999,8.8,32.7,41.5,26.7,6.5,6.3,14.4,19.9,0.59,0.551,167.7,22.4,70.9,48.6,64.5,13.4,6.7,8.6,1.3,72.5,113.3,108.1,5.2,7965.8,96.7,5.0,1.645,1.8,0.4,0.228,55,27,0.6709999999999999,2008
3,L.A. Lakers,82,48.2,108.6,39.6,83.1,0.47600000000000003,8.1,21.4,0.37799999999999995,21.3,27.7,0.769,11.0,33.2,44.1,24.4,8.0,5.3,14.1,20.6,0.57,0.525,162.4,26.3,73.4,50.8,61.7,12.9,8.3,8.0,1.3,70.5,113.0,105.5,7.6,7878.4,95.6,7.3,1.617,1.7,0.6,0.256,57,25,0.695,2008
4,Utah,82,48.1,106.2,40.0,80.4,0.49700000000000005,5.0,13.4,0.37200000000000005,21.3,28.0,0.759,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24.0,0.573,0.528,162.8,29.5,74.1,52.0,66.0,13.6,9.4,7.3,1.3,68.1,113.8,106.5,7.4,7652.2,93.2,6.9,1.66,1.8,0.6,0.265,54,28,0.659,2008
5,Orlando,82,48.2,104.5,37.3,78.6,0.474,9.8,25.3,0.386,20.1,27.9,0.721,9.4,32.6,42.0,20.8,6.3,4.1,14.3,20.6,0.575,0.537,158.2,23.4,74.8,50.2,55.8,13.6,6.8,6.2,1.3,62.6,111.3,105.5,5.8,7695.3,93.4,5.5,1.558,1.5,0.4,0.256,52,30,0.634,2008
6,Indiana,82,48.2,104.0,37.8,85.3,0.444,9.2,24.6,0.374,19.1,24.9,0.768,11.0,32.1,43.1,22.7,7.6,5.0,15.1,23.4,0.54,0.498,158.5,24.4,73.9,48.7,60.1,13.5,7.7,7.9,1.2,61.7,106.1,107.5,-1.4,8040.3,97.7,-1.4,1.601,1.5,0.5,0.22399999999999998,36,46,0.439,2008
7,Sacramento,82,48.4,102.5,37.1,80.0,0.46399999999999997,6.2,16.7,0.373,22.1,27.7,0.7979999999999999,10.1,30.0,40.1,19.1,7.9,4.1,16.2,22.4,0.556,0.503,163.5,25.2,71.7,48.9,51.5,14.9,8.3,6.5,1.3,56.6,107.4,109.8,-2.4,7827.0,94.7,-2.3,1.515,1.2,0.5,0.276,38,44,0.46299999999999997,2008
8,New Orleans,82,48.3,100.9,38.6,82.9,0.466,7.7,19.8,0.389,16.0,20.8,0.769,11.4,30.4,41.8,21.8,7.8,3.9,11.9,18.7,0.5479999999999999,0.512,162.3,27.0,75.4,50.6,56.4,11.4,8.6,6.4,1.2,64.1,111.5,105.7,5.8,7417.1,89.9,5.3,1.564,1.8,0.7,0.193,56,26,0.6829999999999999,2008
9,Memphis,82,48.3,100.7,37.3,82.2,0.45399999999999996,7.6,21.7,0.349,18.5,25.6,0.723,10.3,31.3,41.6,19.2,6.1,4.7,15.2,19.4,0.539,0.5,152.6,23.8,73.4,48.3,51.4,14.0,6.4,7.1,1.2,56.6,105.0,111.5,-6.5,7865.0,95.3,-6.2,1.514,1.3,0.4,0.225,22,60,0.268,2008
10,Boston,82,48.2,100.5,36.4,76.7,0.475,7.3,19.1,0.381,20.5,26.5,0.7709999999999999,10.1,31.9,42.0,22.4,8.5,4.6,15.2,22.7,0.569,0.522,162.7,26.6,74.4,51.9,61.4,14.7,9.3,7.9,1.3,63.1,110.2,98.9,11.2,7483.8,90.9,10.3,1.614,1.5,0.6,0.267,66,16,0.805,2008
11,Dallas,82,48.1,100.4,36.9,79.5,0.46399999999999997,6.0,17.1,0.35200000000000004,20.6,25.3,0.8140000000000001,10.8,32.2,43.0,21.0,6.0,4.9,12.7,21.8,0.5539999999999999,0.502,163.1,26.7,75.0,51.6,56.9,12.3,6.6,7.5,1.3,62.0,111.1,106.1,5.0,7412.0,90.2,4.5,1.569,1.7,0.5,0.259,51,31,0.622,2008
12,Toronto,82,48.4,100.2,38.4,82.0,0.46799999999999997,7.0,17.8,0.392,16.4,20.2,0.812,9.6,30.4,40.1,23.8,7.0,4.1,11.7,19.5,0.551,0.511,167.3,23.4,75.0,49.1,62.0,11.4,7.6,6.9,1.2,63.7,110.2,107.0,3.2,7455.6,90.2,2.9,1.62,2.0,0.6,0.2,41,41,0.5,2008
13,Washington,82,48.5,98.8,36.4,81.6,0.446,7.0,19.7,0.35600000000000004,19.0,24.3,0.782,12.3,29.3,41.6,19.6,7.7,4.8,13.2,19.6,0.535,0.489,158.4,28.9,72.8,50.2,53.8,12.5,8.5,8.2,1.2,59.2,109.2,109.6,-0.4,7419.6,89.5,-0.3,1.538,1.5,0.6,0.233,43,39,0.524,2008
14,Atlanta,82,48.4,98.2,36.3,79.9,0.45399999999999996,4.7,13.1,0.35600000000000004,21.0,27.2,0.772,12.3,29.9,42.2,22.0,7.3,5.5,14.9,20.4,0.535,0.483,158.3,29.7,71.7,50.8,60.6,14.0,8.0,8.4,1.2,59.9,106.9,108.9,-2.0,7533.6,91.1,-1.8,1.6059999999999999,1.5,0.5,0.263,37,45,0.451,2008
15,Oklahoma City,82,48.4,97.5,38.1,85.8,0.444,3.8,11.5,0.33299999999999996,17.5,22.8,0.77,11.8,32.8,44.6,21.3,6.5,4.9,16.0,20.5,0.509,0.467,154.7,26.8,73.7,50.3,55.9,14.3,6.7,7.2,1.1,55.9,100.5,109.5,-9.0,7960.9,96.3,-8.8,1.5590000000000002,1.3,0.4,0.204,20,62,0.244,2008
16,Detroit,82,48.1,97.5,36.6,79.9,0.45799999999999996,5.9,16.2,0.366,18.4,24.0,0.767,11.9,29.5,41.4,22.3,7.1,5.8,11.7,20.6,0.539,0.495,159.1,29.4,73.7,51.4,61.1,11.4,8.1,9.4,1.2,63.0,111.4,102.9,8.4,7177.3,87.3,7.4,1.611,1.9,0.6,0.23,59,23,0.72,2008
17,Chicago,82,48.3,97.3,36.4,83.7,0.435,5.8,15.9,0.363,18.7,24.7,0.7559999999999999,12.8,30.2,43.0,22.1,7.7,5.2,14.6,21.8,0.515,0.47,155.4,28.9,73.1,50.2,60.6,13.4,8.3,8.5,1.2,58.2,103.9,107.2,-3.3,7678.9,93.1,-3.1,1.6059999999999999,1.5,0.5,0.223,33,49,0.402,2008
18,Charlotte,82,48.5,97.1,36.1,79.9,0.452,6.5,17.6,0.36700000000000005,18.4,25.8,0.7140000000000001,10.9,29.8,40.6,21.3,7.5,4.9,14.7,21.7,0.532,0.49200000000000005,153.2,25.6,71.0,48.2,59.1,13.9,8.1,7.7,1.2,56.8,104.6,109.4,-4.7,7605.9,91.8,-4.4,1.591,1.5,0.5,0.23,32,50,0.39,2008
19,Milwaukee,82,48.4,97.0,36.9,82.3,0.449,5.5,16.0,0.344,17.7,24.1,0.733,12.9,28.8,41.7,21.5,6.6,4.4,14.8,21.3,0.522,0.48200000000000004,152.6,30.0,73.0,50.6,58.2,13.7,7.2,7.2,1.2,56.0,105.3,112.8,-7.5,7556.2,91.3,-6.9,1.5819999999999999,1.5,0.4,0.215,26,56,0.317,2008
20,New York,82,48.5,96.9,36.2,82.4,0.439,6.0,17.7,0.337,18.6,25.5,0.727,12.5,30.0,42.5,18.7,6.4,2.6,14.5,21.5,0.518,0.475,150.4,28.6,72.7,49.9,51.6,13.4,6.9,4.2,1.2,51.9,104.7,111.9,-7.1,7590.2,91.6,-6.6,1.516,1.3,0.4,0.226,23,59,0.28,2008
21,Houston,82,48.1,96.7,36.6,81.7,0.44799999999999995,7.1,20.8,0.342,16.4,22.5,0.726,12.2,32.4,44.6,21.4,7.3,5.1,13.7,19.6,0.528,0.49200000000000005,151.6,29.1,74.8,52.3,58.5,13.0,8.0,7.8,1.2,61.4,106.8,101.6,5.2,7428.5,90.4,4.7,1.585,1.6,0.5,0.2,55,27,0.6709999999999999,2008
22,Philadelphia,82,48.2,96.6,37.3,81.1,0.46,3.7,11.6,0.317,18.4,26.1,0.706,13.0,28.9,41.9,20.4,8.7,4.9,14.3,19.8,0.522,0.48200000000000004,148.3,31.8,72.0,51.7,54.7,13.4,9.6,8.1,1.2,58.6,106.5,106.0,0.5,7442.9,90.4,0.4,1.547,1.4,0.6,0.22699999999999998,40,42,0.488,2008
23,Cleveland,82,48.4,96.4,35.8,81.7,0.439,6.7,18.8,0.358,18.0,25.1,0.7170000000000001,13.3,31.3,44.6,20.0,7.1,5.2,14.0,20.9,0.52,0.48,151.3,30.4,75.9,52.4,55.8,13.1,7.7,8.5,1.2,58.1,106.0,106.3,-0.4,7458.8,90.2,-0.4,1.558,1.4,0.5,0.221,45,37,0.5489999999999999,2008
24,Brooklyn,82,48.4,95.8,34.8,78.7,0.44299999999999995,6.1,17.4,0.348,20.1,27.3,0.736,11.1,30.7,41.9,23.5,6.4,4.8,15.0,22.6,0.528,0.48100000000000004,152.7,26.6,73.8,50.1,67.4,14.2,6.9,7.7,1.2,57.1,103.9,109.4,-5.5,7562.1,91.5,-5.1,1.6740000000000002,1.6,0.4,0.255,34,48,0.415,2008
25,Minnesota,82,48.1,95.6,37.5,83.1,0.451,5.4,15.4,0.35,15.2,20.6,0.736,11.8,29.6,41.4,19.9,7.5,3.7,14.5,23.0,0.518,0.484,153.7,27.5,73.6,49.8,53.0,13.6,8.2,6.2,1.1,53.7,103.8,111.2,-7.4,7552.2,91.9,-6.8,1.53,1.4,0.5,0.183,22,60,0.268,2008
26,San Antonio,82,48.1,95.4,35.8,78.3,0.457,7.2,19.6,0.369,16.5,21.6,0.7609999999999999,9.4,31.9,41.3,21.0,6.4,4.1,12.6,18.7,0.5429999999999999,0.504,158.7,23.4,77.1,50.6,58.5,12.6,7.1,6.5,1.2,59.2,107.2,101.8,5.4,7296.8,88.8,4.8,1.585,1.7,0.5,0.21,56,26,0.6829999999999999,2008
27,Portland,82,48.5,95.4,35.8,79.8,0.44799999999999995,6.6,17.4,0.377,17.2,22.5,0.767,11.0,29.7,40.7,21.1,5.5,4.4,12.9,20.0,0.532,0.489,159.3,26.8,71.8,49.4,59.0,12.6,6.3,7.0,1.2,56.5,107.3,108.4,-1.1,7290.8,87.9,-1.0,1.59,1.6,0.4,0.21600000000000003,41,41,0.5,2008
28,L.A. Clippers,82,48.3,93.8,34.4,78.6,0.43799999999999994,4.3,13.2,0.324,20.8,26.6,0.7809999999999999,9.8,30.4,40.1,21.1,6.8,4.9,14.4,21.3,0.519,0.465,154.3,23.1,73.1,47.9,61.4,13.8,7.3,7.5,1.2,54.0,101.2,109.1,-7.8,7598.5,92.1,-7.3,1.614,1.5,0.5,0.264,23,59,0.28,2008
29,Miami,82,48.4,91.4,34.2,77.3,0.44299999999999995,6.0,16.7,0.358,16.9,23.2,0.727,9.1,28.6,37.6,20.0,7.2,4.3,14.7,20.4,0.522,0.48200000000000004,152.8,22.1,71.9,46.6,58.5,14.4,7.9,7.1,1.2,51.2,100.5,110.0,-9.5,7456.1,90.2,-8.6,1.585,1.4,0.5,0.218,15,67,0.183,2008
0,Phoenix,82,48.2,109.4,41.1,81.6,0.504,6.7,17.6,0.38299999999999995,20.4,27.5,0.7440000000000001,11.0,30.7,41.7,23.2,7.2,5.1,15.7,20.6,0.584,0.545,163.1,27.7,71.7,50.6,56.5,14.4,7.5,7.8,1.3,67.6,113.6,111.6,2.0,7900.3,96.0,1.9,1.565,1.5,0.5,0.25,46,36,0.561,2009
1,Golden State,82,48.5,108.6,39.4,86.0,0.45799999999999996,6.7,18.0,0.373,23.1,29.2,0.7909999999999999,11.6,30.4,42.0,20.9,7.8,6.4,14.6,22.5,0.5489999999999999,0.49700000000000005,162.2,26.1,68.1,47.2,53.0,12.9,7.9,9.2,1.3,63.3,109.5,113.3,-3.8,8132.2,98.2,-3.7,1.53,1.4,0.5,0.268,29,53,0.354,2009
2,L.A. Lakers,82,48.2,106.9,40.3,85.1,0.474,6.7,18.5,0.361,19.6,25.5,0.77,12.4,31.5,43.9,23.3,8.8,5.1,13.5,20.7,0.555,0.513,160.5,29.4,73.0,51.4,57.7,12.3,9.2,8.2,1.3,68.7,112.8,104.7,8.1,7772.5,94.3,7.7,1.577,1.7,0.7,0.23,65,17,0.7929999999999999,2009
3,New York,82,48.3,105.2,38.5,86.5,0.445,10.0,27.9,0.36,18.2,23.2,0.784,11.1,31.0,42.1,21.2,7.4,2.5,14.3,20.4,0.544,0.503,159.0,24.4,72.7,47.8,55.1,12.9,7.7,3.8,1.2,60.2,108.1,110.8,-2.7,7979.7,96.7,-2.6,1.551,1.5,0.5,0.21,32,50,0.39,2009
4,Indiana,82,48.4,105.1,39.3,86.3,0.455,8.0,21.0,0.37799999999999995,18.6,23.0,0.807,11.3,32.5,43.7,21.6,7.0,5.3,14.5,23.1,0.545,0.501,164.0,25.4,74.5,49.8,55.1,13.1,7.2,8.1,1.2,62.2,108.0,109.1,-1.1,7978.4,96.6,-1.1,1.551,1.5,0.5,0.215,36,46,0.439,2009
5,Denver,82,48.1,104.3,37.3,79.4,0.47,6.7,18.0,0.371,23.1,30.3,0.76,11.0,30.6,41.6,22.2,8.7,6.0,15.3,22.9,0.563,0.512,160.1,27.5,71.7,50.2,59.5,14.2,9.2,9.7,1.3,64.4,110.4,106.8,3.6,7749.2,94.3,3.4,1.595,1.4,0.6,0.29,54,28,0.659,2009
6,Utah,82,48.5,103.6,38.3,80.8,0.475,4.8,13.7,0.349,22.1,28.7,0.7709999999999999,11.5,29.5,41.0,24.7,8.8,4.6,14.8,22.3,0.5539999999999999,0.504,159.5,28.2,72.7,50.5,64.4,13.7,9.3,7.4,1.3,64.3,110.1,107.2,2.8,7716.5,93.2,2.6,1.6440000000000001,1.7,0.6,0.27399999999999997,48,34,0.585,2009
7,Chicago,82,48.6,102.2,38.1,83.5,0.457,6.0,15.8,0.381,19.9,25.0,0.7959999999999999,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,0.541,0.493,163.4,28.0,70.9,49.6,55.4,13.3,8.0,8.3,1.2,60.8,108.4,108.7,-0.3,7728.4,93.1,-0.3,1.554,1.5,0.5,0.239,41,41,0.5,2009
8,Dallas,82,48.3,101.7,38.1,82.6,0.462,7.0,19.9,0.35,18.5,22.6,0.8190000000000001,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,0.55,0.504,163.0,26.6,74.6,50.8,56.9,12.1,7.8,8.0,1.2,64.5,110.5,108.4,2.1,7547.7,91.5,2.0,1.569,1.7,0.6,0.22399999999999998,50,32,0.61,2009
9,Orlando,82,48.1,101.0,35.7,78.2,0.457,10.0,26.2,0.381,19.6,27.5,0.715,10.0,33.3,43.3,19.4,7.0,5.4,13.9,20.3,0.5589999999999999,0.52,155.2,24.0,75.9,50.7,54.4,13.4,7.5,8.0,1.3,62.1,109.2,101.9,7.2,7591.1,92.3,6.7,1.544,1.4,0.5,0.251,59,23,0.72,2009
10,Boston,82,48.5,100.9,37.5,77.2,0.486,6.6,16.5,0.397,19.4,25.3,0.765,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,0.5710000000000001,0.528,164.7,27.9,75.6,52.8,60.6,15.0,8.3,7.8,1.3,62.3,110.5,102.3,8.2,7487.4,90.4,7.5,1.6059999999999999,1.5,0.5,0.251,62,20,0.7559999999999999,2009
11,Sacramento,82,48.5,100.6,36.5,81.5,0.447,7.1,19.4,0.368,20.5,25.7,0.7979999999999999,10.2,28.9,39.1,19.7,6.9,4.3,15.4,23.3,0.542,0.491,161.3,24.5,69.9,47.0,54.1,14.2,7.3,6.5,1.2,54.0,105.5,114.7,-9.2,7814.4,94.2,-8.8,1.541,1.3,0.5,0.252,17,65,0.207,2009
12,Cleveland,82,48.2,100.3,36.9,78.7,0.46799999999999997,8.0,20.4,0.39299999999999996,18.6,24.5,0.757,10.8,31.4,42.2,20.3,7.2,5.3,12.8,20.3,0.56,0.519,161.8,27.7,74.6,52.0,55.0,12.5,8.1,8.7,1.3,63.3,112.4,102.4,10.0,7313.6,88.7,8.9,1.55,1.6,0.6,0.23600000000000002,66,16,0.805,2009
13,Portland,82,48.4,99.4,36.8,79.2,0.465,7.3,19.0,0.38299999999999995,18.5,24.2,0.765,12.9,28.8,41.7,20.3,6.7,4.9,13.0,20.4,0.5529999999999999,0.511,161.3,32.6,75.0,53.5,55.2,12.6,7.7,8.0,1.3,61.4,113.8,107.7,6.1,7164.2,86.7,5.3,1.5519999999999998,1.6,0.5,0.23399999999999999,54,28,0.659,2009
14,Milwaukee,82,48.2,99.3,36.7,82.4,0.445,6.2,17.2,0.363,19.7,25.2,0.78,11.9,28.9,40.7,22.0,7.4,3.8,14.1,24.2,0.531,0.483,158.9,27.8,74.0,49.9,59.9,13.1,8.0,6.5,1.2,56.8,106.7,107.9,-1.2,7628.5,92.6,-1.1,1.599,1.6,0.5,0.239,34,48,0.415,2009
15,Toronto,82,48.3,99.0,37.2,81.4,0.45799999999999996,5.8,15.7,0.37200000000000005,18.7,22.7,0.8240000000000001,9.8,30.6,40.4,22.4,6.4,4.8,13.4,19.4,0.542,0.494,165.4,24.0,73.7,49.1,60.1,12.8,6.9,7.6,1.2,60.2,107.0,110.0,-3.0,7591.7,92.0,-2.8,1.601,1.7,0.5,0.23,33,49,0.402,2009
