,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,MOV,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season
15,Minnesota,82,48.2,96.8,37.1,80.8,0.45899999999999996,4.8,14.0,0.345,17.7,22.2,0.7959999999999999,11.5,31.5,43.0,23.4,5.6,5.5,13.2,21.6,0.534,0.489,160.0,28.6,71.4,51.0,63.0,12.7,6.3,8.1,1.2,60.9,108.2,106.6,1.6,7332.9,89.1,1.5,1.63,1.8,0.4,0.21899999999999997,44,38,0.537,2005
16,Cleveland,82,48.4,96.5,36.5,81.5,0.447,3.7,11.0,0.332,19.9,26.5,0.752,13.6,28.7,42.3,22.6,8.0,5.6,13.9,22.6,0.518,0.47,153.1,32.5,71.5,51.5,61.9,13.0,8.8,8.7,1.2,59.1,106.6,105.7,0.9,7422.7,89.7,0.8,1.619,1.6,0.6,0.244,42,40,0.512,2005
17,San Antonio,82,48.3,96.2,35.6,78.7,0.45299999999999996,6.2,17.0,0.363,18.7,25.9,0.7240000000000001,12.0,30.4,42.4,21.6,7.5,6.6,13.7,20.9,0.534,0.49200000000000005,154.1,29.1,73.6,51.3,60.6,13.2,8.3,9.9,1.2,61.1,107.5,98.8,8.7,7338.9,88.9,7.8,1.6059999999999999,1.6,0.5,0.23800000000000002,59,23,0.72,2005
18,L.A. Clippers,82,48.9,95.7,35.7,77.7,0.45899999999999996,2.8,8.2,0.345,21.6,27.7,0.778,12.0,29.9,41.9,23.2,7.3,5.1,15.7,22.2,0.5329999999999999,0.47700000000000004,158.3,30.3,71.3,51.5,65.0,14.8,8.1,8.0,1.2,57.6,105.5,106.4,-0.8,7437.9,89.1,-0.8,1.65,1.5,0.5,0.278,37,45,0.451,2005
19,Houston,82,48.4,95.1,34.7,78.3,0.44299999999999995,6.7,18.5,0.364,18.9,24.2,0.7809999999999999,10.7,31.7,42.4,21.1,6.9,4.6,13.9,22.0,0.534,0.486,158.8,26.3,74.5,51.0,60.9,13.5,7.7,7.4,1.2,57.4,106.2,101.7,4.5,7343.5,88.8,4.0,1.609,1.5,0.5,0.242,51,31,0.622,2005
20,Chicago,82,48.4,94.5,34.7,80.4,0.43200000000000005,6.2,17.5,0.35700000000000004,18.7,25.0,0.75,12.2,31.6,43.8,21.3,7.0,4.5,16.7,24.7,0.517,0.47100000000000003,153.9,28.4,72.6,50.6,61.2,15.5,7.6,7.0,1.2,53.2,101.4,100.3,1.1,7636.6,92.4,1.1,1.6119999999999999,1.3,0.4,0.233,47,35,0.573,2005
21,Charlotte,82,48.5,94.3,36.1,83.6,0.43200000000000005,3.9,10.7,0.363,18.1,25.6,0.7090000000000001,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,0.49700000000000005,0.455,150.4,29.5,70.9,49.1,60.6,13.2,9.1,8.3,1.1,54.6,101.2,107.6,-6.4,7640.5,92.2,-6.0,1.6059999999999999,1.5,0.6,0.217,18,64,0.22,2005
22,Memphis,82,48.1,93.4,34.2,76.5,0.447,6.5,18.1,0.35700000000000004,18.6,24.7,0.754,10.8,28.1,39.0,20.9,8.5,5.8,14.6,23.3,0.535,0.489,155.8,27.1,69.9,48.6,61.2,14.3,9.6,9.5,1.2,56.4,105.5,102.9,2.6,7263.8,88.5,2.3,1.6119999999999999,1.4,0.6,0.243,45,37,0.5489999999999999,2005
23,Detroit,82,48.7,93.3,34.8,78.3,0.444,4.4,12.8,0.345,19.4,26.2,0.7390000000000001,12.9,30.6,43.4,21.8,7.0,6.1,13.8,20.0,0.519,0.47200000000000003,152.7,31.2,73.0,52.3,62.7,13.3,7.9,9.4,1.2,58.9,105.6,101.2,4.4,7246.0,87.1,3.9,1.6269999999999998,1.6,0.5,0.247,54,28,0.659,2005
24,Indiana,82,48.5,93.0,32.5,75.2,0.43200000000000005,6.6,19.2,0.344,21.3,26.9,0.792,10.6,29.5,40.1,18.2,7.5,4.4,14.3,23.0,0.534,0.47600000000000003,156.9,26.4,71.3,49.2,55.8,14.1,8.5,6.8,1.2,52.3,105.5,104.6,0.9,7228.7,87.2,0.8,1.558,1.3,0.5,0.28300000000000003,44,38,0.537,2005
